year,goal
2001,200.9524362
2002,199.8970991
2003,198.8417621
2004,197.7864251
2005,196.7310881
2006,195.6757511
2007,194.620414
2008,193.565077
2009,192.50974
2010,191.454403
2011,188.4258796
2012,185.3973562
2013,182.3688329
2014,179.3403095
2015,176.3117861
2016,173.2832628
2017,170.2547394
2018,167.226216
2019,164.1976927
2020,161.1691693
2021,157.1281055
2022,153.0870417
2023,149.0459779
2024,145.0049142
2025,140.9638504
2026,136.7673606
2027,132.5708708
2028,128.374381
2029,124.2779618
2030,120.1815426
